quarter,period_end,symbol,name,sector,revenue_100m,revenue_yoy_pct,gross_profit_100m,gross_margin_pct,net_profit_100m,net_profit_yoy_pct,net_margin_pct,eps_yuan,total_assets_100m,net_assets_100m,debt_ratio_pct,current_ratio,roe_annualized_pct,op_cashflow_100m,close_price_yuan,market_cap_100m,pe_ttm,pb_ratio,nim_pct,npl_ratio_pct
2022Q1,2022-03-31,600036,招商银行,银行,784.32,2.96,,,322.29,5.36,41.09,1.2779,95234.31,5916.53,93.79,,21.79,429.47,53.0,13366.6,9.69,2.26,2.4,0.96
2022Q2,2022-06-30,600036,招商银行,银行,867.09,4.72,,,350.66,1.41,40.44,1.3904,97627.59,6080.64,93.77,,23.07,536.19,44.8,11298.56,8.19,1.86,2.4,0.96
2022Q3,2022-09-30,600036,招商银行,银行,896.66,4.13,,,364.97,5.54,40.7,1.4471,99950.54,6250.58,93.75,,23.36,690.04,40.2,10138.44,7.35,1.62,2.4,0.96
2022Q4,2022-12-31,600036,招商银行,银行,880.52,2.25,,,353.31,6.26,40.13,1.4009,102225.35,6412.6,93.73,,22.04,719.38,35.8,9028.76,6.54,1.41,2.4,0.96
2023Q1,2023-03-31,600036,招商银行,银行,764.1,-3.65,,,337.52,6.34,44.17,1.3383,104684.49,6628.21,93.67,,20.37,456.41,35.2,8877.44,6.06,1.34,2.15,0.95
2023Q2,2023-06-30,600036,招商银行,银行,858.09,-0.45,,,375.71,4.71,43.78,1.4897,107190.31,6841.76,93.62,,21.97,626.15,34.0,8574.8,5.85,1.25,2.15,0.95
2023Q3,2023-09-30,600036,招商银行,银行,868.17,-3.16,,,383.49,6.88,44.17,1.5206,109590.57,7050.67,93.57,,21.76,671.24,32.6,8221.72,5.61,1.17,2.15,0.95
2023Q4,2023-12-31,600036,招商银行,银行,868.35,-3.14,,,361.66,4.83,41.65,1.434,112007.0,7273.69,93.51,,19.89,792.21,31.5,7944.3,5.42,1.09,2.15,0.95
2024Q1,2024-03-31,600036,招商银行,银行,756.28,-3.03,,,339.86,0.79,44.94,1.3476,113775.45,7438.37,93.46,,18.28,454.85,30.2,7616.44,5.11,1.02,1.99,0.95
2024Q2,2024-06-30,600036,招商银行,银行,820.96,-3.16,,,395.69,3.81,48.2,1.569,115504.23,7609.01,93.41,,20.8,665.18,29.8,7515.56,5.04,0.99,1.99,0.95
2024Q3,2024-09-30,600036,招商银行,银行,877.64,-0.46,,,384.61,0.91,43.82,1.525,117260.62,7776.48,93.37,,19.78,717.37,34.5,8700.9,5.84,1.12,1.99,0.95
2024Q4,2024-12-31,600036,招商银行,银行,871.1,-1.2,,,380.29,3.76,43.66,1.5079,119054.17,7956.19,93.32,,19.12,802.93,33.8,8524.36,5.72,1.07,1.99,0.95
