date,open,high,low,close,volume,turnover_rate_pct,change_pct,amplitude_pct,market_cap_100m,symbol,name
2022-01-04,455.29,458.81,451.05,453.15,10457986,0.6746,0.0,1.71,10807.63,300750,宁德时代
2022-01-05,458.84,463.0,457.57,459.59,13690257,0.8831,1.42,1.2,10961.22,300750,宁德时代
2022-01-06,456.5,458.15,453.94,456.19,10786639,0.6958,-0.74,0.92,10880.13,300750,宁德时代
2022-01-07,451.4,452.81,449.25,450.25,20607473,1.3293,-1.3,0.78,10738.46,300750,宁德时代
2022-01-10,449.61,451.7,445.76,450.53,8934090,0.5763,0.06,1.32,10745.14,300750,宁德时代
2022-01-11,457.78,461.33,453.77,455.5,16967486,1.0945,1.1,1.68,10863.68,300750,宁德时代
2022-01-12,459.28,463.73,455.97,461.32,10902908,0.7033,1.28,1.7,11002.48,300750,宁德时代
2022-01-13,466.38,468.69,464.95,467.06,22539084,1.4539,1.24,0.81,11139.38,300750,宁德时代
2022-01-14,459.98,464.03,457.77,462.02,18280548,1.1792,-1.08,1.34,11019.18,300750,宁德时代
2022-01-17,461.23,463.54,458.22,462.25,10344818,0.6673,0.05,1.15,11024.66,300750,宁德时代
2022-01-18,473.11,476.72,468.78,470.23,24489299,1.5797,1.73,1.72,11214.99,300750,宁德时代
2022-01-19,475.68,478.83,474.78,475.75,20805905,1.3421,1.17,0.86,11346.64,300750,宁德时代
2022-01-20,463.97,467.67,461.18,464.91,26272086,1.6947,-2.28,1.36,11088.1,300750,宁德时代
2022-01-21,461.22,463.95,456.33,459.04,13680956,0.8825,-1.26,1.64,10948.1,300750,宁德时代
2022-01-24,465.16,470.18,462.48,466.66,16038886,1.0346,1.66,1.68,11129.84,300750,宁德时代
2022-01-25,459.51,460.19,456.67,459.12,16601627,1.0709,-1.62,0.75,10950.01,300750,宁德时代
2022-01-26,453.64,456.67,450.39,454.02,20409041,1.3165,-1.11,1.37,10828.38,300750,宁德时代
2022-01-27,457.34,458.04,456.42,457.43,20643129,1.3316,0.75,0.36,10909.71,300750,宁德时代
2022-01-28,467.02,468.6,463.02,465.13,13659252,0.8811,1.68,1.22,11093.35,300750,宁德时代
2022-01-31,456.42,459.69,455.59,457.28,18114671,1.1685,-1.69,0.88,10906.13,300750,宁德时代
2022-02-01,473.8,475.15,470.77,472.93,27895198,1.7994,3.42,0.96,11279.38,300750,宁德时代
2022-02-02,455.62,458.98,453.33,457.34,23690920,1.5282,-3.3,1.19,10907.56,300750,宁德时代
2022-02-03,450.0,453.28,447.4,448.58,16148954,1.0417,-1.92,1.29,10698.63,300750,宁德时代
2022-02-04,468.04,471.85,462.45,466.55,14541345,0.938,4.01,2.1,11127.22,300750,宁德时代
2022-02-07,462.62,467.91,459.48,464.15,13535232,0.8731,-0.51,1.81,11069.98,300750,宁德时代
2022-02-08,475.14,476.85,469.61,471.99,21027591,1.3564,1.69,1.56,11256.96,300750,宁德时代
2022-02-09,476.48,477.79,472.03,475.65,11629975,0.7502,0.78,1.22,11344.25,300750,宁德时代
2022-02-10,479.78,481.32,473.04,477.38,14302606,0.9226,0.36,1.74,11385.51,300750,宁德时代
2022-02-11,498.63,502.03,496.67,497.57,20381136,1.3147,4.23,1.12,11867.04,300750,宁德时代
2022-02-14,519.39,522.63,514.15,517.06,21100452,1.3611,3.92,1.7,12331.88,300750,宁德时代
2022-02-15,511.07,511.71,506.83,510.78,17801520,1.1483,-1.21,0.94,12182.1,300750,宁德时代
2022-02-16,512.72,516.78,510.82,513.24,10740132,0.6928,0.48,1.17,12240.77,300750,宁德时代
2022-02-17,506.68,510.37,498.9,503.27,13214331,0.8524,-1.94,2.23,12002.99,300750,宁德时代
2022-02-18,527.25,529.14,520.9,523.75,20255566,1.3066,4.07,1.64,12491.44,300750,宁德时代
2022-02-21,519.73,523.07,516.63,520.25,17978249,1.1597,-0.67,1.23,12407.96,300750,宁德时代
2022-02-22,511.28,512.84,505.05,508.74,26199225,1.69,-2.21,1.5,12133.45,300750,宁德时代
2022-02-23,512.79,514.47,509.41,513.21,14208041,0.9165,0.88,0.99,12240.06,300750,宁德时代
2022-02-24,527.2,533.3,525.24,529.56,12532221,0.8084,3.19,1.57,12630.01,300750,宁德时代
2022-02-25,527.89,530.15,521.83,525.5,11803603,0.7614,-0.77,1.57,12533.18,300750,宁德时代
2022-02-28,506.79,511.11,501.93,505.01,18829336,1.2146,-3.9,1.75,12044.49,300750,宁德时代
2022-03-01,512.88,519.42,511.72,514.85,13268589,0.8559,1.95,1.52,12279.17,300750,宁德时代
2022-03-02,513.01,517.15,508.15,510.63,12529120,0.8082,-0.82,1.75,12178.53,300750,宁德时代
2022-03-03,496.48,500.32,493.83,498.02,13347652,0.861,-2.47,1.27,11877.78,300750,宁德时代
2022-03-04,493.6,496.87,488.73,491.14,13189527,0.8508,-1.38,1.63,11713.69,300750,宁德时代
2022-03-07,487.04,489.63,482.97,485.2,20520659,1.3237,-1.21,1.36,11572.02,300750,宁德时代
2022-03-08,465.35,469.48,463.44,465.82,19747084,1.2738,-3.99,1.24,11109.81,300750,宁德时代
2022-03-09,461.44,468.35,458.89,464.29,15744339,1.0156,-0.33,2.03,11073.32,300750,宁德时代
2022-03-10,463.36,467.22,456.45,460.78,20773350,1.34,-0.76,2.32,10989.6,300750,宁德时代
2022-03-11,461.78,465.6,456.19,459.14,13670104,0.8818,-0.36,2.04,10950.49,300750,宁德时代
2022-03-14,481.1,483.97,474.35,478.82,24712535,1.5941,4.29,2.1,11419.86,300750,宁德时代
2022-03-15,493.42,498.02,489.51,495.35,25115600,1.6201,3.45,1.78,11814.1,300750,宁德时代
2022-03-16,501.77,502.74,498.68,500.87,18750273,1.2095,1.11,0.82,11945.75,300750,宁德时代
2022-03-17,510.35,515.91,505.91,512.94,11412940,0.7362,2.41,2.0,12233.62,300750,宁德时代
2022-03-18,500.13,502.64,496.93,500.58,18571995,1.198,-2.41,1.11,11938.83,300750,宁德时代
2022-03-21,494.97,498.16,488.09,491.84,21179515,1.3662,-1.75,2.01,11730.38,300750,宁德时代
2022-03-22,494.17,498.02,490.36,496.04,19125434,1.2337,0.85,1.56,11830.55,300750,宁德时代
2022-03-23,505.59,509.41,501.95,503.94,14756829,0.9519,1.59,1.5,12018.97,300750,宁德时代
2022-03-24,503.01,504.47,501.06,502.54,19844750,1.2801,-0.28,0.68,11985.58,300750,宁德时代
2022-03-25,489.88,491.06,486.23,488.14,24124990,1.5562,-2.87,0.96,11642.14,300750,宁德时代
2022-03-28,477.37,481.25,475.92,476.64,25520215,1.6462,-2.36,1.09,11367.86,300750,宁德时代
2022-03-29,485.92,489.29,483.77,487.78,24154445,1.5581,2.34,1.16,11633.55,300750,宁德时代
2022-03-30,489.71,493.8,486.35,490.94,16840365,1.0863,0.65,1.53,11708.92,300750,宁德时代
2022-03-31,485.53,488.83,482.04,486.62,20263317,1.3071,-0.88,1.38,11605.89,300750,宁德时代
2022-04-01,477.72,481.44,474.92,479.84,20472601,1.3206,-1.39,1.34,11444.18,300750,宁德时代
2022-04-04,471.01,474.99,469.57,471.25,13770870,0.8883,-1.79,1.13,11239.31,300750,宁德时代
2022-04-05,483.54,485.17,476.42,480.84,21937587,1.4151,2.04,1.86,11468.03,300750,宁德时代
2022-04-06,486.04,492.57,484.73,488.59,22108115,1.4261,1.61,1.63,11652.87,300750,宁德时代
2022-04-07,469.27,471.01,461.95,466.11,33335025,2.1503,-4.6,1.85,11116.72,300750,宁德时代
2022-04-08,462.96,467.76,461.57,464.07,13343001,0.8607,-0.44,1.33,11068.07,300750,宁德时代
2022-04-11,469.1,471.86,465.49,466.76,10667270,0.6881,0.58,1.37,11132.23,300750,宁德时代
2022-04-12,456.57,460.41,452.91,457.21,25038087,1.6151,-2.05,1.61,10904.46,300750,宁德时代
2022-04-13,441.79,443.59,438.51,442.26,22982456,1.4825,-3.27,1.11,10547.9,300750,宁德时代
2022-04-14,440.25,446.65,438.05,443.13,17077554,1.1016,0.2,1.94,10568.65,300750,宁德时代
2022-04-15,448.24,449.94,446.7,449.18,12060945,0.778,1.37,0.73,10712.94,300750,宁德时代
2022-04-18,444.22,444.88,440.61,443.93,19109931,1.2327,-1.17,0.95,10587.73,300750,宁德时代
2022-04-19,443.69,447.88,440.58,445.9,8958894,0.5779,0.44,1.64,10634.72,300750,宁德时代
2022-04-20,448.13,450.15,447.3,449.05,11848560,0.7643,0.71,0.64,10709.84,300750,宁德时代
2022-04-21,442.65,444.36,441.9,443.18,13208130,0.852,-1.31,0.55,10569.84,300750,宁德时代
2022-04-22,441.32,446.69,438.45,443.04,17989101,1.1604,-0.03,1.86,10566.5,300750,宁德时代
2022-04-25,431.63,433.93,428.62,431.49,11550912,0.7451,-2.61,1.2,10291.04,300750,宁德时代
2022-04-26,434.85,440.27,431.28,436.68,15933469,1.0278,1.2,2.08,10414.82,300750,宁德时代
2022-04-27,443.82,447.41,442.51,443.61,14208041,0.9165,1.59,1.12,10580.1,300750,宁德时代
2022-04-28,435.12,436.86,431.61,434.15,22156173,1.4292,-2.13,1.18,10354.48,300750,宁德时代
2022-04-29,441.99,443.63,437.53,440.75,13949149,0.8998,1.52,1.41,10511.89,300750,宁德时代
2022-05-02,428.38,430.06,424.79,427.34,13992556,0.9026,-3.04,1.2,10192.06,300750,宁德时代
2022-05-03,434.61,438.17,432.29,435.37,14321209,0.9238,1.88,1.38,10383.57,300750,宁德时代
2022-05-04,430.15,436.09,428.23,432.87,9816183,0.6332,-0.57,1.81,10323.95,300750,宁德时代
2022-05-05,432.77,433.87,429.7,431.55,17066702,1.1009,-0.3,0.96,10292.47,300750,宁德时代
2022-05-06,426.01,428.97,421.39,423.7,15824952,1.0208,-1.82,1.76,10105.25,300750,宁德时代
2022-05-09,422.77,426.56,420.93,424.62,15676128,1.0112,0.22,1.33,10127.19,300750,宁德时代
2022-05-10,420.5,423.34,416.85,419.22,19460288,1.2553,-1.27,1.53,9998.4,300750,宁德时代
