quarter,period_end,symbol,name,sector,revenue_100m,revenue_yoy_pct,gross_profit_100m,gross_margin_pct,net_profit_100m,net_profit_yoy_pct,net_margin_pct,eps_yuan,total_assets_100m,net_assets_100m,debt_ratio_pct,current_ratio,roe_annualized_pct,op_cashflow_100m,close_price_yuan,market_cap_100m,pe_ttm,pb_ratio,nim_pct,npl_ratio_pct
2022Q1,2022-03-31,603288,海天味业,调味品,82.55,0.06,36.88,44.68,22.31,-0.58,27.03,0.5249,360.48,240.31,33.34,1.48,37.14,16.21,78.0,3315.0,50.23,13.79,,
2022Q2,2022-06-30,603288,海天味业,调味品,57.66,4.84,24.5,42.49,14.92,2.75,25.88,0.3511,366.98,247.56,32.54,1.58,24.11,22.38,68.5,2911.25,44.11,11.76,,
2022Q3,2022-09-30,603288,海天味业,调味品,57.35,4.27,24.8,43.24,13.55,-2.24,23.63,0.3188,373.6,254.75,31.81,1.59,21.28,26.14,58.2,2473.5,37.48,9.71,,
2022Q4,2022-12-31,603288,海天味业,调味品,59.57,3.6,25.7,43.14,15.06,-0.79,25.28,0.3544,379.97,261.8,31.1,1.45,23.01,24.05,52.0,2210.0,33.48,8.44,,
2023Q1,2023-03-31,603288,海天味业,调味品,81.22,-3.86,34.99,43.08,20.46,-8.82,25.19,0.4814,384.98,268.01,30.38,1.45,30.54,13.62,49.5,2103.75,34.49,7.85,,
2023Q2,2023-06-30,603288,海天味业,调味品,55.42,-1.6,23.15,41.77,13.31,-8.33,24.02,0.3132,389.91,273.93,29.75,1.5,19.44,20.55,43.8,1861.5,30.52,6.8,,
2023Q3,2023-09-30,603288,海天味业,调味品,53.74,-4.58,23.21,43.19,13.04,-5.92,24.26,0.3068,395.03,279.82,29.16,1.42,18.64,22.1,40.2,1708.5,28.01,6.11,,
2023Q4,2023-12-31,603288,海天味业,调味品,57.81,-1.82,24.97,43.19,13.73,-9.55,23.75,0.3231,400.18,285.89,28.56,1.38,19.21,24.99,38.5,1636.25,26.82,5.72,,
2024Q1,2024-03-31,603288,海天味业,调味品,84.53,4.13,38.48,45.52,21.81,5.16,25.8,0.5132,405.52,293.3,27.67,1.45,29.74,16.51,36.8,1564.0,23.7,5.33,,
2024Q2,2024-06-30,603288,海天味业,调味品,56.47,4.34,25.8,45.69,14.36,7.0,25.43,0.3379,410.94,300.37,26.91,1.61,19.12,20.47,35.2,1496.0,22.67,4.98,,
2024Q3,2024-09-30,603288,海天味业,调味品,56.64,4.66,24.93,44.01,14.16,10.54,25.0,0.3332,416.67,307.83,26.12,1.6,18.4,26.37,42.5,1806.25,27.37,5.87,,
2024Q4,2024-12-31,603288,海天味业,调味品,58.87,4.05,26.21,44.52,14.76,5.2,25.07,0.3473,422.02,315.11,25.33,1.51,18.74,27.76,41.8,1776.5,26.92,5.64,,
