quarter,period_end,symbol,name,sector,revenue_100m,revenue_yoy_pct,gross_profit_100m,gross_margin_pct,net_profit_100m,net_profit_yoy_pct,net_margin_pct,eps_yuan,total_assets_100m,net_assets_100m,debt_ratio_pct,current_ratio,roe_annualized_pct,op_cashflow_100m,close_price_yuan,market_cap_100m,pe_ttm,pb_ratio,nim_pct,npl_ratio_pct
2022Q1,2022-03-31,300750,宁德时代,新能源,599.46,155.39,119.02,19.85,51.43,90.27,8.58,2.1564,4107.52,897.36,78.15,1.39,22.93,86.13,460,10971.0,35.74,12.23,,
2022Q2,2022-06-30,300750,宁德时代,新能源,797.95,154.97,162.32,20.34,69.93,91.22,8.76,2.9321,4752.39,1076.78,77.34,1.52,25.98,120.89,305,7274.25,23.69,6.76,,
2022Q3,2022-09-30,300750,宁德时代,新能源,938.3,156.98,184.05,19.62,83.49,87.53,8.9,3.5006,5388.12,1255.96,76.69,1.39,26.59,150.93,220,5247.0,17.09,4.18,,
2022Q4,2022-12-31,300750,宁德时代,新能源,1010.35,158.27,202.42,20.03,98.91,94.4,9.79,4.1472,6049.56,1426.02,76.43,1.42,27.74,155.6,183,4364.55,14.22,3.06,,
2023Q1,2023-03-31,300750,宁德时代,新能源,713.97,20.71,165.11,23.13,74.22,42.21,10.4,3.1119,6253.75,1545.63,75.28,1.51,19.21,146.75,200,4770.0,10.79,3.09,,
2023Q2,2023-06-30,300750,宁德时代,新能源,980.44,24.32,221.05,22.55,104.05,47.36,10.61,4.3627,6446.1,1664.03,74.19,1.42,25.01,200.6,215,5127.75,11.6,3.08,,
2023Q3,2023-09-30,300750,宁德时代,新能源,1119.04,21.62,251.95,22.51,120.99,40.75,10.81,5.073,6640.09,1778.3,73.22,1.44,27.21,217.18,230,5485.5,12.41,3.08,,
2023Q4,2023-12-31,300750,宁德时代,新能源,1174.2,19.11,270.06,23.0,138.19,40.67,11.77,5.7941,6838.13,1894.63,72.29,1.53,29.18,230.68,218,5199.3,11.76,2.74,,
2024Q1,2024-03-31,300750,宁德时代,新能源,657.95,-8.82,141.35,21.48,63.28,-15.78,9.62,2.6532,6884.64,1970.53,71.38,1.55,12.85,103.7,205,4889.25,12.87,2.48,,
2024Q2,2024-06-30,300750,宁德时代,新能源,849.04,-11.76,189.05,22.27,87.57,-13.86,10.31,3.6717,6929.69,2047.81,70.45,1.44,17.11,151.92,195,4650.75,12.24,2.27,,
2024Q3,2024-09-30,300750,宁德时代,新能源,1020.46,-9.09,222.3,21.78,103.51,-16.36,10.14,4.34,6974.0,2123.54,69.55,1.5,19.5,163.81,180,4293.0,11.3,2.02,,
2024Q4,2024-12-31,300750,宁德时代,新能源,1090.56,-9.32,234.29,21.48,124.93,-11.67,11.46,5.2382,7019.06,2199.21,68.67,1.49,22.72,183.51,175,4173.75,10.98,1.9,,
