quarter,period_end,symbol,name,sector,revenue_100m,revenue_yoy_pct,gross_profit_100m,gross_margin_pct,net_profit_100m,net_profit_yoy_pct,net_margin_pct,eps_yuan,total_assets_100m,net_assets_100m,debt_ratio_pct,current_ratio,roe_annualized_pct,op_cashflow_100m,close_price_yuan,market_cap_100m,pe_ttm,pb_ratio,nim_pct,npl_ratio_pct
2022Q1,2022-03-31,300059,东方财富,互联网金融,21.32,-35.39,,,13.47,-38.77,63.18,0.0909,4335.92,637.02,85.31,1.44,8.46,15.5,27.5,4075.5,59.93,6.4,,
2022Q2,2022-06-30,300059,东方财富,互联网金融,27.9,-34.97,,,18.83,-36.6,67.49,0.1271,4442.01,654.06,85.28,1.44,11.52,20.29,22.8,3378.96,49.69,5.17,,
2022Q3,2022-09-30,300059,东方财富,互联网金融,28.99,-37.25,,,19.52,-36.62,67.33,0.1317,4544.32,670.8,85.24,1.52,11.64,24.16,19.5,2889.9,42.5,4.31,,
2022Q4,2022-12-31,300059,东方财富,互联网金融,26.92,-37.25,,,16.52,-39.93,61.37,0.1115,4650.4,688.4,85.2,1.6,9.6,23.99,16.8,2489.76,36.61,3.62,,
2023Q1,2023-03-31,300059,东方财富,互联网金融,17.2,-18.1,,,11.18,-17.79,65.0,0.0754,4601.51,698.49,84.82,1.45,6.4,12.85,17.5,2593.5,46.31,3.71,,
2023Q2,2023-06-30,300059,东方财富,互联网金融,23.38,-14.36,,,14.99,-18.36,64.11,0.1011,4551.44,708.88,84.43,1.43,8.46,16.49,16.8,2489.76,44.46,3.51,,
2023Q3,2023-09-30,300059,东方财富,互联网金融,24.05,-18.2,,,15.3,-19.64,63.62,0.1032,4500.36,719.47,84.01,1.58,8.51,21.46,15.6,2311.92,41.28,3.21,,
2023Q4,2023-12-31,300059,东方财富,互联网金融,22.52,-17.51,,,13.71,-19.35,60.88,0.0925,4450.55,730.15,83.59,1.55,7.51,22.78,14.9,2208.18,39.43,3.02,,
2024Q1,2024-03-31,300059,东方财富,互联网金融,19.62,11.48,,,12.77,14.02,65.09,0.0862,4537.99,742.47,83.64,1.54,6.88,14.46,14.2,2104.44,33.94,2.83,,
2024Q2,2024-06-30,300059,东方财富,互联网金融,24.48,6.99,,,16.33,8.0,66.71,0.1102,4626.26,754.86,83.68,1.45,8.65,20.11,13.8,2045.16,32.99,2.71,,
2024Q3,2024-09-30,300059,东方财富,互联网金融,26.73,8.48,,,17.55,11.93,65.66,0.1184,4710.66,767.2,83.71,1.51,9.15,20.49,16.5,2445.3,39.44,3.19,,
2024Q4,2024-12-31,300059,东方财富,互联网金融,24.79,8.35,,,15.53,10.93,62.65,0.1048,4798.74,779.56,83.75,1.39,7.97,24.47,17.2,2549.04,41.11,3.27,,
