quarter,period_end,symbol,name,sector,revenue_100m,revenue_yoy_pct,gross_profit_100m,gross_margin_pct,net_profit_100m,net_profit_yoy_pct,net_margin_pct,eps_yuan,total_assets_100m,net_assets_100m,debt_ratio_pct,current_ratio,roe_annualized_pct,op_cashflow_100m,close_price_yuan,market_cap_100m,pe_ttm,pb_ratio,nim_pct,npl_ratio_pct
2022Q1,2022-03-31,002594,比亚迪,新能源汽车,720.97,96.25,105.33,14.61,24.78,450.67,3.44,0.8563,4211.12,1465.6,65.2,1.53,6.76,77.82,318,9202.92,55.44,6.28,,
2022Q2,2022-06-30,002594,比亚迪,新能源汽车,931.34,95.9,135.75,14.58,34.09,468.17,3.66,1.178,4777.43,1696.74,64.48,1.6,8.04,111.2,350,10129.0,61.02,5.97,,
2022Q3,2022-09-30,002594,比亚迪,新能源汽车,1191.99,97.0,174.06,14.6,46.61,454.88,3.91,1.6106,5344.34,1934.19,63.81,1.61,9.64,134.18,310,8971.4,54.04,4.64,,
2022Q4,2022-12-31,002594,比亚迪,新能源汽车,1419.26,99.02,205.96,14.51,61.64,455.32,4.34,2.1299,5910.03,2174.2,63.21,1.48,11.34,127.75,233,6743.02,40.62,3.1,,
2023Q1,2023-03-31,002594,比亚迪,新能源汽车,1043.57,44.75,188.78,18.09,43.99,76.67,4.22,1.52,6395.3,2333.64,63.51,1.5,7.54,128.89,250,7235.0,24.12,3.1,,
2023Q2,2023-06-30,002594,比亚迪,新能源汽车,1312.6,40.68,246.55,18.78,61.72,85.9,4.7,2.1327,6888.01,2502.76,63.66,1.5,9.86,168.29,268,7755.92,25.85,3.1,,
2023Q3,2023-09-30,002594,比亚迪,新能源汽车,1650.69,39.01,310.55,18.81,82.62,77.75,5.01,2.8549,7390.35,2673.26,63.83,1.51,12.36,204.55,248,7177.12,23.92,2.68,,
2023Q4,2023-12-31,002594,比亚迪,新能源汽车,1991.76,42.32,365.42,18.35,111.55,81.62,5.6,3.8545,7886.41,2836.21,64.04,1.4,15.73,190.33,238,6887.72,22.96,2.43,,
2024Q1,2024-03-31,002594,比亚迪,新能源汽车,1300.73,27.04,242.84,18.67,61.19,35.98,4.7,2.1144,8364.91,3031.09,63.76,1.6,8.07,142.76,228,6598.32,16.41,2.18,,
2024Q2,2024-06-30,002594,比亚迪,新能源汽车,1731.54,30.68,320.6,18.52,81.69,36.15,4.72,2.8227,8839.2,3219.32,63.58,1.59,10.15,189.09,245,7090.3,17.64,2.2,,
2024Q3,2024-09-30,002594,比亚迪,新能源汽车,2199.64,30.43,405.54,18.44,114.12,35.86,5.19,3.9433,9311.58,3413.95,63.34,1.5,13.37,234.12,308,8913.52,22.17,2.61,,
2024Q4,2024-12-31,002594,比亚迪,新能源汽车,2520.85,26.83,481.43,19.1,151.58,36.56,6.01,5.2377,9792.36,3599.7,63.24,1.55,16.84,250.16,295,8537.3,21.24,2.37,,
