quarter,period_end,symbol,name,sector,revenue_100m,revenue_yoy_pct,gross_profit_100m,gross_margin_pct,net_profit_100m,net_profit_yoy_pct,net_margin_pct,eps_yuan,total_assets_100m,net_assets_100m,debt_ratio_pct,current_ratio,roe_annualized_pct,op_cashflow_100m,close_price_yuan,market_cap_100m,pe_ttm,pb_ratio,nim_pct,npl_ratio_pct
2022Q1,2022-03-31,000002,万科A,房地产,337.3,-6.88,46.96,13.92,17.69,-2.16,5.24,0.1522,18064.86,2254.71,87.52,0.93,3.14,-88.79,20.5,2382.1,10.54,1.06,,
2022Q2,2022-06-30,000002,万科A,房地产,510.21,-6.1,69.22,13.57,27.27,0.55,5.34,0.2347,17900.88,2270.3,87.32,0.94,4.8,-130.2,18.2,2114.84,9.36,0.93,,
2022Q3,2022-09-30,000002,万科A,房地产,896.67,-9.99,127.76,14.25,39.61,-2.63,4.42,0.3409,17744.1,2286.07,87.12,0.86,6.93,-157.32,14.5,1684.9,7.46,0.74,,
2022Q4,2022-12-31,000002,万科A,房地产,2448.35,-6.77,333.33,13.61,140.3,0.13,5.73,1.2074,17575.89,2302.28,86.9,0.97,24.38,-151.86,12.8,1487.36,6.58,0.65,,
2023Q1,2023-03-31,000002,万科A,房地产,297.51,-10.82,30.61,10.29,-2.85,-115.76,-0.96,-0.0245,17212.22,2215.88,87.13,0.94,-0.51,21.25,11.5,1336.3,,0.6,,
2023Q2,2023-06-30,000002,万科A,房地产,446.45,-10.78,46.0,10.3,-4.39,-116.19,-0.98,-0.0378,16852.15,2129.84,87.36,0.84,-0.82,31.55,10.2,1185.24,,0.56,,
2023Q3,2023-09-30,000002,万科A,房地产,811.7,-11.52,81.5,10.04,-6.38,-115.68,-0.79,-0.0549,16490.37,2040.71,87.62,0.95,-1.25,34.7,9.1,1057.42,,0.52,,
2023Q4,2023-12-31,000002,万科A,房地产,2169.38,-10.3,214.37,9.88,-22.57,-116.11,-1.04,-0.1942,16125.6,1960.07,87.84,0.88,-4.61,35.55,8.3,964.46,,0.49,,
2024Q1,2024-03-31,000002,万科A,房地产,198.02,-34.19,11.63,5.87,-3.51,-21.87,-1.77,-0.0302,15535.43,1887.85,87.85,0.84,-0.74,64.02,7.5,871.5,,0.46,,
2024Q2,2024-06-30,000002,万科A,房地产,288.15,-36.15,17.54,6.09,-5.41,-25.23,-1.88,-0.0466,14959.23,1818.35,87.84,0.95,-1.19,83.9,6.8,790.16,,0.43,,
2024Q3,2024-09-30,000002,万科A,房地产,542.11,-34.48,32.51,6.0,-8.3,-28.09,-1.53,-0.0714,14382.63,1750.7,87.83,0.89,-1.9,113.24,7.2,836.64,,0.48,,
2024Q4,2024-12-31,000002,万科A,房地产,1406.96,-35.5,84.49,6.01,-27.07,-21.28,-1.92,-0.233,13784.47,1679.25,87.82,0.92,-6.45,110.39,6.9,801.78,,0.48,,
