quarter,period_end,symbol,name,sector,revenue_100m,revenue_yoy_pct,gross_profit_100m,gross_margin_pct,net_profit_100m,net_profit_yoy_pct,net_margin_pct,eps_yuan,total_assets_100m,net_assets_100m,debt_ratio_pct,current_ratio,roe_annualized_pct,op_cashflow_100m,close_price_yuan,market_cap_100m,pe_ttm,pb_ratio,nim_pct,npl_ratio_pct
2022Q1,2022-03-31,601318,中国平安,保险,2082.49,-7.24,,,213.76,-19.08,10.26,1.1694,104907.93,7161.99,93.17,1.6,11.94,468.58,57.0,10419.6,12.43,1.45,,
2022Q2,2022-06-30,601318,中国平安,保险,2131.13,-5.07,,,223.28,-15.48,10.48,1.2214,106920.25,7226.01,93.24,1.46,12.36,626.82,50.2,9176.56,10.95,1.27,,
2022Q3,2022-09-30,601318,中国平安,保险,2068.09,-7.88,,,197.88,-18.85,9.57,1.0825,109048.22,7285.85,93.32,1.39,10.86,677.46,45.8,8372.24,9.99,1.15,,
2022Q4,2022-12-31,601318,中国平安,保险,2107.33,-6.13,,,200.44,-17.8,9.51,1.0965,111060.53,7349.32,93.38,1.48,10.91,723.98,42.0,7677.6,9.16,1.04,,
2023Q1,2023-03-31,601318,中国平安,保险,2178.73,4.37,,,221.91,1.85,10.19,1.2139,112599.17,7470.23,93.37,1.41,11.88,521.14,43.5,7951.8,9.29,1.06,,
2023Q2,2023-06-30,601318,中国平安,保险,2146.63,2.83,,,225.36,3.43,10.5,1.2328,114124.96,7591.18,93.35,1.58,11.87,636.08,42.0,7677.6,8.97,1.01,,
2023Q3,2023-09-30,601318,中国平安,保险,2108.54,1.01,,,210.68,4.75,9.99,1.1525,115652.74,7713.49,93.33,1.44,10.93,766.66,41.2,7531.36,8.8,0.98,,
2023Q4,2023-12-31,601318,中国平安,保险,2121.17,1.61,,,210.47,4.65,9.92,1.1514,117147.85,7826.93,93.32,1.45,10.76,811.05,40.1,7330.28,8.56,0.94,,
2024Q1,2024-03-31,601318,中国平安,保险,2229.03,4.16,,,242.57,8.99,10.88,1.327,118736.75,7923.01,93.33,1.39,12.25,522.99,38.8,7092.64,7.63,0.9,,
2024Q2,2024-06-30,601318,中国平安,保险,2180.52,1.89,,,236.19,6.12,10.83,1.2921,120302.97,8015.06,93.34,1.59,11.79,724.74,37.6,6873.28,7.39,0.86,,
2024Q3,2024-09-30,601318,中国平安,保险,2150.76,0.5,,,217.98,6.1,10.14,1.1925,121953.09,8108.55,93.35,1.5,10.75,780.09,39.2,7165.76,7.71,0.88,,
2024Q4,2024-12-31,601318,中国平安,保险,2175.45,1.66,,,227.51,10.74,10.46,1.2446,123517.1,8196.49,93.36,1.59,11.1,912.02,38.5,7037.8,7.57,0.86,,
