date,open,high,low,close,volume,turnover_rate_pct,change_pct,amplitude_pct,market_cap_100m,symbol,name
2022-01-04,76.18,76.52,75.51,76.11,7848262,0.2841,0.0,1.33,3234.68,603288,海天味业
2022-01-05,76.78,77.39,76.16,76.51,4516687,0.1635,0.53,1.62,3251.68,603288,海天味业
2022-01-06,75.83,76.23,74.89,75.38,6099600,0.2208,-1.48,1.75,3203.65,603288,海天味业
2022-01-07,73.99,74.27,73.28,73.69,10331750,0.374,-2.24,1.31,3131.82,603288,海天味业
2022-01-10,73.73,74.27,73.01,73.34,6989125,0.253,-0.47,1.71,3116.95,603288,海天味业
2022-01-11,72.5,73.52,72.27,72.94,5204550,0.1884,-0.55,1.7,3099.95,603288,海天味业
2022-01-12,72.79,73.04,72.39,72.69,5099574,0.1846,-0.34,0.89,3089.32,603288,海天味业
2022-01-13,72.49,72.86,72.33,72.56,8536125,0.309,-0.18,0.73,3083.8,603288,海天味业
2022-01-14,73.43,74.24,72.8,73.63,10790325,0.3906,1.47,1.98,3129.27,603288,海天味业
2022-01-17,73.09,73.35,72.51,73.24,10193625,0.369,-0.53,1.14,3112.7,603288,海天味业
2022-01-18,73.82,74.44,73.1,73.42,9740575,0.3526,0.25,1.83,3120.35,603288,海天味业
2022-01-19,72.88,73.73,72.3,73.16,6077500,0.22,-0.35,1.95,3109.3,603288,海天味业
2022-01-20,74.81,75.05,73.71,74.37,8226725,0.2978,1.65,1.83,3160.73,603288,海天味业
2022-01-21,75.41,75.69,74.79,75.11,7237750,0.262,1.0,1.21,3192.18,603288,海天味业
2022-01-24,74.03,74.46,73.44,74.12,7422837,0.2687,-1.32,1.36,3150.1,603288,海天味业
2022-01-25,72.17,73.23,71.55,72.65,5845450,0.2116,-1.98,2.27,3087.63,603288,海天味业
2022-01-26,72.96,73.32,72.75,72.9,8008487,0.2899,0.34,0.78,3098.25,603288,海天味业
2022-01-27,74.0,74.66,72.81,73.52,6939400,0.2512,0.85,2.54,3124.6,603288,海天味业
2022-01-28,74.37,75.14,74.24,74.54,10856625,0.393,1.39,1.22,3167.95,603288,海天味业
2022-01-31,74.86,75.32,74.48,75.13,10483687,0.3795,0.79,1.13,3193.02,603288,海天味业
2022-02-01,75.73,76.52,75.41,75.94,7315100,0.2648,1.08,1.48,3227.45,603288,海天味业
