date,open,high,low,close,volume,turnover_rate_pct,change_pct,amplitude_pct,market_cap_100m,symbol,name
2022-01-04,1837.06,1850.79,1822.3,1827.42,1073566,0.1315,0.0,1.56,22952.4,600519,贵州茅台
2022-01-05,1820.29,1831.31,1800.19,1814.88,1270318,0.1556,-0.69,1.7,22794.89,600519,贵州茅台
2022-01-06,1824.89,1839.64,1795.41,1812.96,1442578,0.1767,-0.11,2.44,22770.78,600519,贵州茅台
2022-01-07,1821.12,1844.9,1803.74,1831.42,1667088,0.2042,1.02,2.27,23002.64,600519,贵州茅台
2022-01-10,1815.6,1821.27,1804.31,1814.74,1320935,0.1618,-0.91,0.93,22793.13,600519,贵州茅台
2022-01-11,1809.75,1819.6,1784.14,1800.43,2356130,0.2886,-0.79,1.95,22613.4,600519,贵州茅台
2022-01-12,1784.45,1797.36,1756.23,1773.24,1701377,0.2084,-1.51,2.28,22271.89,600519,贵州茅台
2022-01-13,1786.26,1808.86,1781.99,1792.68,1313587,0.1609,1.1,1.52,22516.06,600519,贵州茅台
2022-01-14,1804.49,1815.08,1793.09,1800.76,1818122,0.2227,0.45,1.23,22617.55,600519,贵州茅台
2022-01-17,1795.19,1807.22,1768.67,1784.75,1316853,0.1613,-0.89,2.14,22416.46,600519,贵州茅台
2022-01-18,1773.69,1781.79,1769.28,1776.52,2162643,0.2649,-0.46,0.7,22313.09,600519,贵州茅台
2022-01-19,1785.77,1802.27,1772.21,1789.02,2201830,0.2697,0.7,1.69,22470.09,600519,贵州茅台
2022-01-20,1802.65,1813.66,1781.05,1796.19,2334087,0.2859,0.4,1.82,22560.15,600519,贵州茅台
2022-01-21,1835.22,1842.73,1809.37,1826.32,2455731,0.3008,1.68,1.86,22938.58,600519,贵州茅台
2022-01-24,1842.74,1856.75,1838.14,1840.76,2335720,0.2861,0.79,1.02,23119.95,600519,贵州茅台
2022-01-25,1832.76,1859.97,1822.13,1842.88,1967524,0.241,0.12,2.06,23146.57,600519,贵州茅台
