quarter,period_end,symbol,name,sector,revenue_100m,revenue_yoy_pct,gross_profit_100m,gross_margin_pct,net_profit_100m,net_profit_yoy_pct,net_margin_pct,eps_yuan,total_assets_100m,net_assets_100m,debt_ratio_pct,current_ratio,roe_annualized_pct,op_cashflow_100m,close_price_yuan,market_cap_100m,pe_ttm,pb_ratio,nim_pct,npl_ratio_pct
2022Q1,2022-03-31,601398,工商银行,银行,2042.21,2.39,,,826.85,3.3,40.49,0.232,364982.9,29114.53,92.02,,11.36,1841.62,5.18,18462.56,5.12,0.63,1.92,1.38
2022Q2,2022-06-30,601398,工商银行,银行,2269.73,4.69,,,951.0,5.11,41.9,0.2668,371908.7,29685.91,92.02,,12.81,2206.18,4.75,16929.95,4.7,0.57,1.92,1.38
2022Q3,2022-09-30,601398,工商银行,银行,2385.21,5.79,,,920.64,1.75,38.6,0.2583,378693.05,30221.47,92.02,,12.19,2604.33,4.52,16110.18,4.47,0.53,1.92,1.38
2022Q4,2022-12-31,601398,工商银行,银行,2384.51,5.76,,,878.38,0.96,36.84,0.2464,385537.83,30782.22,92.02,,11.41,2897.66,4.38,15611.2,4.33,0.51,1.92,1.38
2023Q1,2023-03-31,601398,工商银行,银行,1966.79,-4.54,,,838.18,1.12,42.62,0.2352,394253.39,31313.05,92.06,,10.71,1852.89,4.5,16038.9,4.41,0.51,1.61,1.36
2023Q2,2023-06-30,601398,工商银行,银行,2151.97,-3.91,,,974.11,3.96,45.27,0.2733,402916.23,31845.25,92.1,,12.24,2453.14,4.62,16466.6,4.52,0.52,1.61,1.36
2023Q3,2023-09-30,601398,工商银行,银行,2204.13,-5.36,,,928.58,-0.9,42.13,0.2605,411895.21,32353.9,92.15,,11.48,3061.92,4.88,17393.3,4.78,0.54,1.61,1.36
2023Q4,2023-12-31,601398,工商银行,银行,2178.25,-6.48,,,915.89,1.65,42.05,0.257,420475.32,32881.18,92.18,,11.14,3280.93,4.72,16823.02,4.62,0.51,1.61,1.36
2024Q1,2024-03-31,601398,工商银行,银行,1875.85,-4.98,,,835.57,-0.22,44.54,0.2344,427311.9,33353.8,92.19,,10.02,1794.9,5.2,18533.84,5.04,0.56,1.47,1.35
2024Q2,2024-06-30,601398,工商银行,银行,2036.71,-5.08,,,937.66,-0.95,46.04,0.2631,434265.36,33835.48,92.21,,11.08,2575.15,5.68,20244.66,5.5,0.6,1.47,1.35
2024Q3,2024-09-30,601398,工商银行,银行,2128.65,-4.61,,,981.29,3.66,46.1,0.2753,441295.3,34321.26,92.22,,11.44,3133.17,6.05,21563.41,5.86,0.63,1.47,1.35
2024Q4,2024-12-31,601398,工商银行,银行,2090.4,-6.33,,,925.34,1.66,44.27,0.2596,447845.65,34787.46,92.23,,10.64,3280.5,6.18,22026.76,5.99,0.63,1.47,1.35
